# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
5.992664704673429377e-01 6.057245071738457387e-01 6.024954888205943382e-01 1.328190454341829785e+01 1.000000000000000000e+00
6.057245071738457387e-01 6.121825438803485397e-01 6.089535255270971392e-01 1.000000000000000000e+01 2.000000000000000000e+00
6.121825438803485397e-01 6.186405805868513408e-01 6.154115622335999403e-01 1.386320351866924661e+01 1.000000000000000000e+00
6.186405805868513408e-01 6.250986172933541418e-01 6.218695989401027413e-01 1.291835123660758988e+01 1.000000000000000000e+00
6.250986172933541418e-01 6.315566539998569429e-01 6.283276356466055423e-01 1.000000000000000000e+01 2.000000000000000000e+00
6.315566539998569429e-01 6.380146907063597439e-01 6.347856723531083434e-01 1.079871974452669825e+01 1.000000000000000000e+00
6.380146907063597439e-01 6.444727274128625449e-01 6.412437090596111444e-01 1.027037479102207485e+01 1.000000000000000000e+00
6.444727274128625449e-01 6.509307641193653460e-01 6.477017457661139455e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.509307641193653460e-01 6.573888008258681470e-01 6.541597824726167465e-01 1.000000000000000000e+01 2.000000000000000000e+00
6.573888008258681470e-01 6.638468375323709481e-01 6.606178191791195475e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.638468375323709481e-01 6.703048742388737491e-01 6.670758558856223486e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.703048742388737491e-01 6.767629109453765501e-01 6.735338925921251496e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.767629109453765501e-01 6.832209476518793512e-01 6.799919292986279507e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.832209476518793512e-01 6.896789843583821522e-01 6.864499660051307517e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.896789843583821522e-01 6.961370210648849532e-01 6.929080027116335527e-01 1.000000000000000000e+01 1.000000000000000000e+00
6.961370210648849532e-01 7.025950577713877543e-01 6.993660394181363538e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.025950577713877543e-01 7.090530944778905553e-01 7.058240761246391548e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.090530944778905553e-01 7.155111311843933564e-01 7.122821128311419558e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.155111311843933564e-01 7.219691678908961574e-01 7.187401495376447569e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.219691678908961574e-01 7.284272045973989584e-01 7.251981862441475579e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.284272045973989584e-01 7.348852413039017595e-01 7.316562229506503590e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.348852413039017595e-01 7.445722963636559610e-01 7.381142596571531600e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.445722963636559610e-01 7.542593514234101626e-01 7.510303330701587621e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.542593514234101626e-01 7.607173881299129636e-01 7.574883697766615631e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.607173881299129636e-01 7.671754248364157647e-01 7.639464064831643642e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.671754248364157647e-01 7.768624798961699662e-01 7.704044431896671652e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.768624798961699662e-01 7.865495349559241678e-01 7.833205166026727673e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.865495349559241678e-01 7.962365900156783693e-01 7.897785533091755683e-01 1.000000000000000000e+01 1.000000000000000000e+00
7.962365900156783693e-01 8.059236450754325709e-01 8.026946267221811704e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.059236450754325709e-01 8.123816817819353719e-01 8.091526634286839714e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.123816817819353719e-01 8.220687368416895735e-01 8.156107001351867725e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.220687368416895735e-01 8.317557919014437751e-01 8.285267735481923745e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.317557919014437751e-01 8.414428469611979766e-01 8.349848102546951756e-01 1.000000000000000000e+01 1.000000000000000000e+00
8.414428469611979766e-01 8.543589203742035787e-01 8.479008836677007777e-01 1.000000000000000000e+01 1.000000000000000000e+00
